Contact ID,Account ID,Previous Stage,New Funnel Stage,Stage Entered Date,Stage Exit Date,Opportunity ID
d3afd4f8,b7a17540,Subscriber,Opportunity,2025-01-06,2025-04-19,
d3afd4f8,b7a17540,Opportunity,Lead,2025-05-02,2025-05-03,
d3afd4f8,b7a17540,Lead,Closed Lost,2025-05-03,2025-05-04,
d3afd4f8,b7a17540,Closed Lost,SQL,2025-05-05,2025-05-05,
e34cba83,19aabf5c,Subscriber,Lead,2025-01-12,2025-02-24,
e34cba83,19aabf5c,Lead,Customer,2025-04-01,2025-04-01,
333e04f7,974a7abf,Subscriber,Customer,2025-03-11,2025-04-14,
333e04f7,974a7abf,Customer,SQL,2025-05-02,2025-05-05,
8e5126f0,d9ed9b57,Subscriber,Closed Lost,2025-03-14,2025-04-27,
8e5126f0,d9ed9b57,Closed Lost,Lead,2025-04-28,2025-04-30,
8e5126f0,d9ed9b57,Lead,Opportunity,2025-05-01,2025-05-05,
8e5126f0,d9ed9b57,Opportunity,Customer,2025-05-05,2025-05-05,
8e5126f0,d9ed9b57,Customer,SQL,2025-05-05,2025-05-05,
71b72ce0,1d0e4d6c,Subscriber,Opportunity,2025-01-12,2025-04-10,
71b72ce0,1d0e4d6c,Opportunity,SQL,2025-05-05,2025-05-05,
71b72ce0,1d0e4d6c,SQL,Lead,2025-05-05,2025-05-05,
71b72ce0,1d0e4d6c,Lead,MQL,2025-05-05,2025-05-05,
71b72ce0,1d0e4d6c,MQL,Closed Lost,2025-05-05,2025-05-05,
fd24459e,09eb1c01,Subscriber,Opportunity,2025-04-10,2025-04-23,
fd24459e,09eb1c01,Opportunity,Lead,2025-04-25,2025-04-30,
fd24459e,09eb1c01,Lead,MQL,2025-05-02,2025-05-02,
fd24459e,09eb1c01,MQL,Customer,2025-05-02,2025-05-05,
fd24459e,09eb1c01,Customer,SQL,2025-05-05,2025-05-05,
a0f5d74e,94083352,Subscriber,Closed Lost,2025-04-03,2025-04-08,
a0f5d74e,94083352,Closed Lost,Customer,2025-04-17,2025-05-05,
a0f5d74e,94083352,Customer,Opportunity,2025-05-05,2025-05-05,fe837f1b
92ed49d0,71ee1668,Subscriber,Lead,2025-03-20,2025-04-16,
92ed49d0,71ee1668,Lead,Opportunity,2025-04-22,2025-04-28,
92ed49d0,71ee1668,Opportunity,SQL,2025-05-03,2025-05-03,
badb9f91,9408a49b,Subscriber,MQL,2025-02-14,2025-04-11,
badb9f91,9408a49b,MQL,Opportunity,2025-05-01,2025-05-02,
750cd5fb,47b1f749,Subscriber,Opportunity,2025-02-14,2025-04-25,
750cd5fb,47b1f749,Opportunity,Lead,2025-04-25,2025-04-27,
750cd5fb,47b1f749,Lead,MQL,2025-05-01,2025-05-04,
750cd5fb,47b1f749,MQL,SQL,2025-05-05,2025-05-05,
750cd5fb,47b1f749,SQL,Customer,2025-05-05,2025-05-05,
3d9efb5f,bf0df416,Subscriber,SQL,2025-02-27,2025-04-08,
3d9efb5f,bf0df416,SQL,Lead,2025-05-04,2025-05-04,
2125beec,399e42e8,Subscriber,MQL,2025-03-03,2025-03-24,
2125beec,399e42e8,MQL,Closed Lost,2025-04-08,2025-04-20,
2125beec,399e42e8,Closed Lost,Customer,2025-04-23,2025-04-24,
2125beec,399e42e8,Customer,Lead,2025-04-24,2025-04-25,
2125beec,399e42e8,Lead,SQL,2025-05-05,2025-05-05,
f0f34ac8,044b204c,Subscriber,MQL,2025-03-30,2025-04-17,
f0f34ac8,044b204c,MQL,Customer,2025-05-04,2025-05-05,
f0f34ac8,044b204c,Customer,Opportunity,2025-05-05,2025-05-05,
f0f34ac8,044b204c,Opportunity,Closed Lost,2025-05-05,2025-05-05,
b990ade2,6449d689,Subscriber,Closed Lost,2025-03-11,2025-05-01,
b990ade2,6449d689,Closed Lost,SQL,2025-05-03,2025-05-04,
b990ade2,6449d689,SQL,MQL,2025-05-05,2025-05-05,
b990ade2,6449d689,MQL,Opportunity,2025-05-05,2025-05-05,
b990ade2,6449d689,Opportunity,Customer,2025-05-05,2025-05-05,
21d49893,8401bf37,Subscriber,Closed Lost,2025-03-30,2025-04-19,
21d49893,8401bf37,Closed Lost,Customer,2025-04-28,2025-04-29,
21d49893,8401bf37,Customer,SQL,2025-05-03,2025-05-04,
415a5d6c,2c5c2769,Subscriber,Lead,2025-02-21,2025-03-15,
415a5d6c,2c5c2769,Lead,MQL,2025-04-13,2025-05-04,
415a5d6c,2c5c2769,MQL,Opportunity,2025-05-04,2025-05-04,
415a5d6c,2c5c2769,Opportunity,SQL,2025-05-04,2025-05-05,
9f7f576b,b401dee1,Subscriber,Opportunity,2025-04-03,2025-04-20,
9f7f576b,b401dee1,Opportunity,Customer,2025-04-20,2025-04-27,
9f7f576b,b401dee1,Customer,SQL,2025-04-29,2025-04-29,
9f7f576b,b401dee1,SQL,MQL,2025-04-29,2025-04-29,
75ff4b0f,13e53de0,Subscriber,Opportunity,2025-03-01,2025-04-19,
75ff4b0f,13e53de0,Opportunity,Closed Lost,2025-04-21,2025-04-27,
79baee8d,315e983c,Subscriber,MQL,2024-12-17,2025-02-18,
79baee8d,315e983c,MQL,Customer,2025-05-05,2025-05-05,
8016b2f6,2b475230,Subscriber,Closed Lost,2025-03-09,2025-04-28,
8016b2f6,2b475230,Closed Lost,Opportunity,2025-05-03,2025-05-04,
8016b2f6,2b475230,Opportunity,Customer,2025-05-04,2025-05-05,
2c1f1e2d,ec01543b,Subscriber,Customer,2024-12-19,2025-01-06,
2c1f1e2d,ec01543b,Customer,Closed Lost,2025-04-21,2025-04-29,
2c1f1e2d,ec01543b,Closed Lost,Opportunity,2025-05-02,2025-05-02,
d4d661f4,cdf4603a,Subscriber,Closed Lost,2025-04-05,2025-04-30,
d4d661f4,cdf4603a,Closed Lost,Lead,2025-05-04,2025-05-05,
a86f623f,28685857,Subscriber,SQL,2025-02-21,2025-04-14,
a86f623f,28685857,SQL,Customer,2025-04-22,2025-04-26,
a86f623f,28685857,Customer,MQL,2025-05-02,2025-05-02,
a86f623f,28685857,MQL,Closed Lost,2025-05-04,2025-05-05,
a86f623f,28685857,Closed Lost,Opportunity,2025-05-05,2025-05-05,
4762131f,1962d877,Subscriber,Closed Lost,2025-03-17,2025-04-07,
4762131f,1962d877,Closed Lost,Opportunity,2025-04-15,2025-04-21,
5.48E+10,41c279ec,Subscriber,Opportunity,2025-02-11,2025-02-15,
5.48E+10,41c279ec,Opportunity,SQL,2025-03-20,2025-05-04,
a63ea076,a925dea1,Subscriber,SQL,2025-01-25,2025-04-17,
a63ea076,a925dea1,SQL,Customer,2025-04-21,2025-05-02,
a63ea076,a925dea1,Customer,Closed Lost,2025-05-03,2025-05-03,
a63ea076,a925dea1,Closed Lost,Lead,2025-05-04,2025-05-05,
a8be598d,5cde7f6d,Subscriber,Customer,2025-02-14,2025-04-12,
a8be598d,5cde7f6d,Customer,Lead,2025-05-04,2025-05-05,
a8be598d,5cde7f6d,Lead,Opportunity,2025-05-05,2025-05-05,
a8be598d,5cde7f6d,Opportunity,MQL,2025-05-05,2025-05-05,
43f43d22,9142a5c0,Subscriber,Opportunity,2025-04-28,2025-04-29,
43f43d22,9142a5c0,Opportunity,MQL,2025-05-03,2025-05-03,
43f43d22,9142a5c0,MQL,SQL,2025-05-04,2025-05-05,
43f43d22,9142a5c0,SQL,Lead,2025-05-05,2025-05-05,
43f43d22,9142a5c0,Lead,Customer,2025-05-05,2025-05-05,
6d10f3ba,4ac6a767,Subscriber,Opportunity,2025-02-05,2025-02-23,
6d10f3ba,4ac6a767,Opportunity,SQL,2025-04-11,2025-04-14,
6d10f3ba,4ac6a767,SQL,Closed Lost,2025-05-01,2025-05-03,
6d10f3ba,4ac6a767,Closed Lost,Customer,2025-05-05,2025-05-05,
6d10f3ba,4ac6a767,Customer,Lead,2025-05-05,2025-05-05,
4ab2243f,bb0198ea,Subscriber,Customer,2025-02-17,2025-04-13,
4ab2243f,bb0198ea,Customer,Closed Lost,2025-05-02,2025-05-02,
4ab2243f,bb0198ea,Closed Lost,MQL,2025-05-05,2025-05-05,
53ae9ab7,27344ba2,Subscriber,Lead,2025-03-02,2025-04-17,
53ae9ab7,27344ba2,Lead,Opportunity,2025-04-18,2025-04-20,
53ae9ab7,27344ba2,Opportunity,SQL,2025-04-28,2025-04-30,
518a41eb,05738bf8,Subscriber,Customer,2025-01-12,2025-03-28,
518a41eb,05738bf8,Customer,Lead,2025-04-24,2025-04-24,
518a41eb,05738bf8,Lead,SQL,2025-04-24,2025-04-28,
bf027510,cf83078c,Subscriber,SQL,2024-12-24,2025-02-10,
bf027510,cf83078c,SQL,MQL,2025-03-06,2025-03-14,
bf027510,cf83078c,MQL,Customer,2025-05-05,2025-05-05,
1c773c59,8ff5fdb9,Subscriber,SQL,2025-03-28,2025-03-31,
1c773c59,8ff5fdb9,SQL,Lead,2025-05-01,2025-05-02,
1c773c59,8ff5fdb9,Lead,MQL,2025-05-03,2025-05-05,
8f443ed0,0661678e,Subscriber,Lead,2025-01-29,2025-03-04,
8f443ed0,0661678e,Lead,SQL,2025-03-14,2025-04-17,
8f443ed0,0661678e,SQL,MQL,2025-04-21,2025-04-21,
8f443ed0,0661678e,MQL,Customer,2025-04-30,2025-05-02,
8f443ed0,0661678e,Customer,Closed Lost,2025-05-02,2025-05-04,
7c2c24aa,c715f698,Subscriber,SQL,2025-02-11,2025-03-27,
7c2c24aa,c715f698,SQL,Lead,2025-04-03,2025-04-29,
6b9b470c,6f5f3f59,Subscriber,Lead,2025-04-01,2025-05-02,
6b9b470c,6f5f3f59,Lead,Customer,2025-05-02,2025-05-03,
a0397349,bb8de967,Subscriber,Customer,2025-03-08,2025-03-12,
a0397349,bb8de967,Customer,Closed Lost,2025-03-14,2025-04-29,
a0397349,bb8de967,Closed Lost,MQL,2025-05-03,2025-05-04,
00ddf3de,c41f41ad,Subscriber,Closed Lost,2025-04-26,2025-05-01,
00ddf3de,c41f41ad,Closed Lost,Customer,2025-05-01,2025-05-05,
933635d5,69706cdf,Subscriber,MQL,2025-05-01,2025-05-02,
933635d5,69706cdf,MQL,Closed Lost,2025-05-02,2025-05-05,
75a69599,a6e695fb,Subscriber,Customer,2025-02-01,2025-04-04,
75a69599,a6e695fb,Customer,Lead,2025-04-12,2025-05-05,
75a69599,a6e695fb,Lead,MQL,2025-05-05,2025-05-05,
57343e3c,d33fd20f,Subscriber,Closed Lost,2025-02-13,2025-04-07,
57343e3c,d33fd20f,Closed Lost,SQL,2025-04-13,2025-05-05,
57343e3c,d33fd20f,SQL,Customer,2025-05-05,2025-05-05,
57343e3c,d33fd20f,Customer,Lead,2025-05-05,2025-05-05,
57343e3c,d33fd20f,Lead,MQL,2025-05-05,2025-05-05,
211425ff,b2aa6fbb,Subscriber,SQL,2025-04-22,2025-04-22,
211425ff,b2aa6fbb,SQL,Opportunity,2025-04-27,2025-05-05,
211425ff,b2aa6fbb,Opportunity,MQL,2025-05-05,2025-05-05,
4441f451,ce6486e6,Subscriber,Closed Lost,2025-01-15,2025-04-09,
4441f451,ce6486e6,Closed Lost,MQL,2025-04-19,2025-04-27,
4441f451,ce6486e6,MQL,Lead,2025-04-27,2025-05-03,
4441f451,ce6486e6,Lead,Customer,2025-05-03,2025-05-05,
f045bba4,b39ccb4a,Subscriber,MQL,2025-05-05,2025-05-05,
f045bba4,b39ccb4a,MQL,SQL,2025-05-05,2025-05-05,
f045bba4,b39ccb4a,SQL,Lead,2025-05-05,2025-05-05,
f853ff69,a1ab35af,Subscriber,Lead,2025-02-20,2025-04-11,
f853ff69,a1ab35af,Lead,SQL,2025-04-27,2025-04-30,
f853ff69,a1ab35af,SQL,MQL,2025-05-02,2025-05-04,
ce59564a,a18b9876,Subscriber,MQL,2025-03-27,2025-04-28,
ce59564a,a18b9876,MQL,Opportunity,2025-04-30,2025-05-05,
f1acd0b4,63424827,Subscriber,Closed Lost,2024-11-17,2025-01-23,
f1acd0b4,63424827,Closed Lost,SQL,2025-04-23,2025-04-24,
f1acd0b4,63424827,SQL,Customer,2025-04-25,2025-05-04,
f1acd0b4,63424827,Customer,MQL,2025-05-05,2025-05-05,
701d86a3,cfcaafbc,Subscriber,Lead,2025-04-08,2025-04-20,
701d86a3,cfcaafbc,Lead,SQL,2025-04-26,2025-04-30,
701d86a3,cfcaafbc,SQL,MQL,2025-05-05,2025-05-05,
701d86a3,cfcaafbc,MQL,Customer,2025-05-05,2025-05-05,
701d86a3,cfcaafbc,Customer,Opportunity,2025-05-05,2025-05-05,
04198aed,26d5557a,Subscriber,Opportunity,2024-12-05,2025-01-19,
04198aed,26d5557a,Opportunity,Customer,2025-03-08,2025-03-21,
04198aed,26d5557a,Customer,Lead,2025-03-31,2025-05-04,
04198aed,26d5557a,Lead,SQL,2025-05-05,2025-05-05,
04198aed,26d5557a,SQL,MQL,2025-05-05,2025-05-05,
d731932a,a5617181,Subscriber,Opportunity,2025-04-18,2025-05-01,
d731932a,a5617181,Opportunity,Customer,2025-05-01,2025-05-02,
d731932a,a5617181,Customer,Lead,2025-05-03,2025-05-05,
08b8324c,1b3da5bc,Subscriber,Lead,2025-02-01,2025-03-16,
08b8324c,1b3da5bc,Lead,Opportunity,2025-03-24,2025-04-22,de7e08b4
08b8324c,1b3da5bc,Opportunity,Customer,2025-04-25,2025-04-28,
7d3f81c9,e30fee9e,Subscriber,MQL,2025-03-23,2025-03-23,
7d3f81c9,e30fee9e,MQL,Closed Lost,2025-04-28,2025-05-01,
b2374a00,59b8e9e3,Subscriber,MQL,2025-03-11,2025-04-09,
b2374a00,59b8e9e3,MQL,Closed Lost,2025-05-02,2025-05-04,
b2374a00,59b8e9e3,Closed Lost,Customer,2025-05-05,2025-05-05,
7c7d8ed5,0da19723,Subscriber,MQL,2025-01-16,2025-04-30,
7c7d8ed5,0da19723,MQL,Lead,2025-05-05,2025-05-05,
7c7d8ed5,0da19723,Lead,Customer,2025-05-05,2025-05-05,
ac701742,ce590a7a,Subscriber,Customer,2025-02-19,2025-03-02,
ac701742,ce590a7a,Customer,Closed Lost,2025-03-07,2025-03-11,
ac701742,ce590a7a,Closed Lost,SQL,2025-03-21,2025-03-23,
ac701742,ce590a7a,SQL,Lead,2025-04-03,2025-04-29,
ac701742,ce590a7a,Lead,Opportunity,2025-05-04,2025-05-04,
4f34c1c8,535cb67e,Subscriber,Lead,2025-02-05,2025-03-29,
4f34c1c8,535cb67e,Lead,Closed Lost,2025-04-14,2025-04-23,
4f34c1c8,535cb67e,Closed Lost,SQL,2025-04-23,2025-04-25,
4f34c1c8,535cb67e,SQL,MQL,2025-04-27,2025-04-28,
802bb70a,5b5539ab,Subscriber,SQL,2025-02-23,2025-04-18,
802bb70a,5b5539ab,SQL,MQL,2025-04-26,2025-05-04,
802bb70a,5b5539ab,MQL,Closed Lost,2025-05-05,2025-05-05,
802bb70a,5b5539ab,Closed Lost,Lead,2025-05-05,2025-05-05,
802bb70a,5b5539ab,Lead,Customer,2025-05-05,2025-05-05,
1a24ce3c,ef80fd56,Subscriber,MQL,2025-01-10,2025-01-13,
1a24ce3c,ef80fd56,MQL,Opportunity,2025-04-05,2025-05-03,
1a24ce3c,ef80fd56,Opportunity,SQL,2025-05-04,2025-05-04,
1a24ce3c,ef80fd56,SQL,Lead,2025-05-05,2025-05-05,
1a24ce3c,ef80fd56,Lead,Closed Lost,2025-05-05,2025-05-05,
97b13921,60a0d332,Subscriber,SQL,2025-02-13,2025-03-12,
97b13921,60a0d332,SQL,Lead,2025-04-04,2025-04-04,
97b13921,60a0d332,Lead,Customer,2025-04-15,2025-05-02,
1bc3dab8,a9cf7c33,Subscriber,MQL,2025-03-16,2025-04-29,
1bc3dab8,a9cf7c33,MQL,Closed Lost,2025-05-01,2025-05-03,
1bc3dab8,a9cf7c33,Closed Lost,SQL,2025-05-05,2025-05-05,
1bc3dab8,a9cf7c33,SQL,Opportunity,2025-05-05,2025-05-05,
040e1584,dd84a304,Subscriber,MQL,2025-03-31,2025-04-05,
040e1584,dd84a304,MQL,SQL,2025-04-26,2025-04-26,
9356d1b4,b69e144c,Subscriber,SQL,2025-04-01,2025-04-16,
9356d1b4,b69e144c,SQL,Closed Lost,2025-05-02,2025-05-02,
9356d1b4,b69e144c,Closed Lost,Opportunity,2025-05-04,2025-05-05,
8e3d986a,bc463be8,Subscriber,Opportunity,2025-02-12,2025-03-27,
8e3d986a,bc463be8,Opportunity,Lead,2025-04-23,2025-04-24,
8e3d986a,bc463be8,Lead,Closed Lost,2025-04-27,2025-05-02,
8e3d986a,bc463be8,Closed Lost,MQL,2025-05-02,2025-05-04,
d5d0aa53,455cf42a,Subscriber,SQL,2025-03-12,2025-03-30,
d5d0aa53,455cf42a,SQL,Lead,2025-04-30,2025-05-03,
d5d0aa53,455cf42a,Lead,Closed Lost,2025-05-05,2025-05-05,
d5d0aa53,455cf42a,Closed Lost,Customer,2025-05-05,2025-05-05,
48bffee3,f266e825,Subscriber,Closed Lost,2025-01-09,2025-02-28,
48bffee3,f266e825,Closed Lost,Customer,2025-04-07,2025-04-24,
0f964287,0e6f1e21,Subscriber,Customer,2025-01-17,2025-03-01,
0f964287,0e6f1e21,Customer,Lead,2025-05-05,2025-05-05,
0f964287,0e6f1e21,Lead,MQL,2025-05-05,2025-05-05,
0f964287,0e6f1e21,MQL,SQL,2025-05-05,2025-05-05,
1b2b58a1,f94c68d4,Subscriber,Customer,2025-04-20,2025-04-23,
1b2b58a1,f94c68d4,Customer,Closed Lost,2025-05-01,2025-05-02,
1b2b58a1,f94c68d4,Closed Lost,Opportunity,2025-05-03,2025-05-03,
beec627e,36d1a597,Subscriber,MQL,2025-05-03,2025-05-04,
beec627e,36d1a597,MQL,Opportunity,2025-05-05,2025-05-05,
beec627e,36d1a597,Opportunity,SQL,2025-05-05,2025-05-05,
beec627e,36d1a597,SQL,Customer,2025-05-05,2025-05-05,
beec627e,36d1a597,Customer,Closed Lost,2025-05-05,2025-05-05,
3e60c9e5,f1167bbf,Subscriber,Opportunity,2025-03-23,2025-04-20,
3e60c9e5,f1167bbf,Opportunity,SQL,2025-05-03,2025-05-03,
3e60c9e5,f1167bbf,SQL,Lead,2025-05-03,2025-05-04,
8ffd5984,7fd0eb58,Subscriber,SQL,2025-04-16,2025-04-30,
8ffd5984,7fd0eb58,SQL,Closed Lost,2025-05-04,2025-05-05,
4815bde7,a68a9c0d,Subscriber,SQL,2025-02-05,2025-04-07,
4815bde7,a68a9c0d,SQL,Lead,2025-04-25,2025-05-05,
0d0d8afc,f85224ce,Subscriber,Closed Lost,2025-04-13,2025-04-20,
0d0d8afc,f85224ce,Closed Lost,Customer,2025-05-01,2025-05-01,
07c0331f,1cb21d4c,Subscriber,Opportunity,2025-03-18,2025-03-19,
07c0331f,1cb21d4c,Opportunity,Lead,2025-03-29,2025-03-29,
07c0331f,1cb21d4c,Lead,SQL,2025-04-27,2025-04-29,
1ef45179,c1b35d60,Subscriber,Customer,2025-04-26,2025-04-27,
1ef45179,c1b35d60,Customer,Lead,2025-04-30,2025-05-03,
1ef45179,c1b35d60,Lead,Opportunity,2025-05-05,2025-05-05,
1ef45179,c1b35d60,Opportunity,SQL,2025-05-05,2025-05-05,
751480c0,24205210,Subscriber,MQL,2025-04-03,2025-04-30,
751480c0,24205210,MQL,Opportunity,2025-05-01,2025-05-01,
751480c0,24205210,Opportunity,Customer,2025-05-01,2025-05-03,
751480c0,24205210,Customer,SQL,2025-05-05,2025-05-05,
3b0abc87,54318597,Subscriber,MQL,2024-12-24,2025-01-18,
3b0abc87,54318597,MQL,Lead,2025-01-28,2025-03-19,
3b0abc87,54318597,Lead,Opportunity,2025-04-08,2025-04-12,
3b0abc87,54318597,Opportunity,SQL,2025-04-27,2025-04-28,
3b0abc87,54318597,SQL,Closed Lost,2025-05-05,2025-05-05,
3f1f77d6,26a465d4,Subscriber,Lead,2025-04-23,2025-05-03,
3f1f77d6,26a465d4,Lead,MQL,2025-05-04,2025-05-05,
3f1f77d6,26a465d4,MQL,Closed Lost,2025-05-05,2025-05-05,
3f1f77d6,26a465d4,Closed Lost,Opportunity,2025-05-05,2025-05-05,
3f1f77d6,26a465d4,Opportunity,SQL,2025-05-05,2025-05-05,
bb53f417,428c00b1,Subscriber,Opportunity,2025-02-07,2025-04-14,
bb53f417,428c00b1,Opportunity,Lead,2025-05-02,2025-05-02,
bb53f417,428c00b1,Lead,MQL,2025-05-03,2025-05-04,
bb53f417,428c00b1,MQL,SQL,2025-05-04,2025-05-05,
e03e987a,1db4ceab,Subscriber,SQL,2025-02-04,2025-04-11,
e03e987a,1db4ceab,SQL,Opportunity,2025-05-05,2025-05-05,
e03e987a,1db4ceab,Opportunity,Customer,2025-05-05,2025-05-05,
4e184558,e07f2870,Subscriber,MQL,2025-03-21,2025-04-01,
4e184558,e07f2870,MQL,SQL,2025-04-14,2025-04-23,
4e184558,e07f2870,SQL,Closed Lost,2025-04-28,2025-05-02,
9517e5fe,cd10375a,Subscriber,MQL,2025-02-28,2025-03-24,
9517e5fe,cd10375a,MQL,Lead,2025-04-10,2025-04-14,
9517e5fe,cd10375a,Lead,Customer,2025-04-30,2025-05-05,
9517e5fe,cd10375a,Customer,SQL,2025-05-05,2025-05-05,
9517e5fe,cd10375a,SQL,Closed Lost,2025-05-05,2025-05-05,
2548f486,3ee9a8ce,Subscriber,Customer,2025-04-04,2025-04-19,
2548f486,3ee9a8ce,Customer,Closed Lost,2025-04-26,2025-04-26,
2548f486,3ee9a8ce,Closed Lost,Lead,2025-04-30,2025-05-04,
2548f486,3ee9a8ce,Lead,SQL,2025-05-05,2025-05-05,
2548f486,3ee9a8ce,SQL,Opportunity,2025-05-05,2025-05-05,
0c6430a1,d2820856,Subscriber,Opportunity,2025-04-21,2025-04-21,
